,video_ID,has_title,has_description,has_tags,readability,sentence_count,word_count,word_unique,transition_words,summary_words,active_verb,video_duration,transcript_sentence_count,transcription_confidence_avg,transcript_wordcount,transcript_unique_wordcount,transcription_active_wordcount,transcription_summary_wordcount,transcription_transition_wordcount,unique_obj_count,scene_count,MED_pred,UND_pred
774,ypYg1a4uIJs,1,1,1,18.13823204,5,181,109,3,0,32,103,7.0,0.883190324,52.0,39.0,8.0,0.0,1.0,19.0,1.0,0,1
775,Nujyif7MkMA,1,1,1,43.81396226,5,318,175,5,0,30,292,67.0,0.972222555,1017.0,326.0,196.0,0.0,54.0,54.0,47.0,1,1
776,q74l-ecOi_8,1,1,1,22.53740119,19,755,378,15,0,96,222,27.0,0.917697807,363.0,162.0,68.0,0.0,20.0,32.0,1.0,1,1
777,rJw5PfIqlcQ,1,1,1,12.76,1,15,13,1,0,2,360,22.0,0.957311273,250.0,151.0,35.0,1.0,14.0,55.0,21.0,1,1
778,LqWL4iM6AHs,1,1,1,53.39315217,1,92,59,2,0,4,207,91.0,0.973559797,1231.0,396.0,191.0,0.0,93.0,39.0,67.0,0,0
779,al2u0BSWbu0,1,1,1,12.11578947,2,38,35,1,0,5,104,31.0,0.9157408831152817,497.0,207.0,101.0,0.0,25.0,38.0,33.0,1,1
780,oSXdRrRSmjw,1,1,1,13.62,1,23,22,2,0,2,127,8.0,0.898037821,110.0,75.0,13.0,0.0,7.0,12.0,8.0,1,1
781,CV46E7l4Qww,1,1,0,36.0062,3,150,99,2,0,6,357,15.0,0.9157408831152817,86.0,55.0,14.0,0.0,0.0,47.0,58.0,1,1
782,7baGUWm7gYw,1,1,1,7.811764706,5,68,59,3,0,8,246,33.0,0.9157408831152817,506.0,188.0,100.0,0.0,35.0,25.0,1.0,1,1
783,fTYFsf1eFIg,1,1,1,42.09914286,1,70,55,2,0,4,190,12.0,0.9157408831152817,139.0,95.0,12.0,0.0,9.0,7.0,1.0,1,1
784,sP3mXrIhIE0,1,1,0,8.783571429,1,14,14,1,0,3,183,16.0,0.887667707,183.0,95.0,38.0,0.0,18.0,18.0,5.0,0,1
