date,Diabetes,diabetes complication,diabetes cure,diabetes depression,diabetes causes,isPartial
2020-03-08,95,0,1,0,1,False
2020-03-15,82,0,0,0,1,False
2020-03-22,78,0,1,0,1,False
2020-03-29,82,0,0,0,2,False
2020-04-05,83,0,1,0,2,False
2020-04-12,79,0,1,0,2,False
2020-04-19,85,0,1,0,2,False
2020-04-26,84,0,1,0,2,False
2020-05-03,83,0,1,0,2,False
2020-05-10,77,0,1,0,1,False
2020-05-17,79,0,1,0,2,False
2020-05-24,82,0,1,0,2,False
2020-05-31,78,0,1,0,1,False
2020-06-07,87,0,1,0,1,False
2020-06-14,86,0,1,0,2,False
2020-06-21,88,0,1,0,2,False
2020-06-28,88,0,1,0,1,False
2020-07-05,92,0,1,0,2,False
2020-07-12,89,0,1,0,2,False
2020-07-19,91,0,1,0,2,False
2020-07-26,89,0,1,0,1,False
2020-08-02,87,0,1,0,2,False
2020-08-09,85,0,1,0,2,False
2020-08-16,87,0,1,0,2,False
2020-08-23,83,0,1,0,2,False
2020-08-30,81,0,0,0,2,False
2020-09-06,82,0,1,0,1,False
2020-09-13,87,0,1,0,2,False
2020-09-20,88,0,0,0,2,False
2020-09-27,86,0,0,0,2,False
2020-10-04,90,0,1,0,2,False
2020-10-11,90,0,1,0,2,False
2020-10-18,91,0,1,0,2,False
2020-10-25,87,0,1,0,2,False
2020-11-01,74,0,0,0,1,False
2020-11-08,90,0,1,0,2,False
2020-11-15,96,0,1,0,2,False
2020-11-22,77,0,0,0,1,False
2020-11-29,86,0,1,0,2,False
2020-12-06,87,0,1,0,2,False
2020-12-13,81,0,0,0,2,False
2020-12-20,69,0,0,0,1,False
2020-12-27,73,0,1,0,1,False
2021-01-03,81,0,1,0,1,False
2021-01-10,86,0,1,0,2,False
2021-01-17,89,0,1,0,1,False
2021-01-24,94,0,1,0,2,False
2021-01-31,93,0,0,0,2,False
2021-02-07,100,0,1,0,2,False
2021-02-14,89,0,0,0,2,False
2021-02-21,96,0,1,0,2,False
2021-02-28,97,0,0,0,2,False
2021-03-07,95,0,1,0,2,False
2021-03-14,92,0,1,0,1,False
2021-03-21,89,0,0,0,2,False
2021-03-28,88,0,1,0,2,False
2021-04-04,95,0,1,0,2,False
2021-04-11,92,0,0,0,2,False
2021-04-18,93,0,0,0,2,False
2021-04-25,93,0,1,0,2,False
2021-05-02,91,0,1,0,2,False
2021-05-09,90,0,1,0,1,False
2021-05-16,87,0,1,0,1,False
2021-05-23,83,0,1,0,2,False
2021-05-30,83,0,0,0,1,False
2021-06-06,88,0,1,0,2,False
2021-06-13,89,0,1,0,2,False
2021-06-20,84,0,0,0,2,False
2021-06-27,84,0,0,0,1,False
2021-07-04,84,0,1,0,2,False
2021-07-11,90,0,1,0,1,False
2021-07-18,89,0,1,0,1,False
2021-07-25,88,0,0,0,1,False
2021-08-01,88,0,0,0,1,False
2021-08-08,86,0,1,0,1,False
2021-08-15,83,0,0,0,1,False
2021-08-22,86,0,0,0,1,False
2021-08-29,82,0,1,0,1,False
2021-09-05,82,0,0,0,1,False
2021-09-12,88,0,0,0,2,False
2021-09-19,87,0,1,0,2,False
2021-09-26,90,0,1,0,2,False
2021-10-03,92,0,0,0,2,False
2021-10-10,93,0,1,0,2,False
2021-10-17,91,0,0,0,2,False
2021-10-24,90,0,1,0,2,False
2021-10-31,93,0,1,0,1,False
2021-11-07,92,0,1,0,2,False
2021-11-14,96,0,0,0,1,False
2021-11-21,75,0,1,0,1,False
2021-11-28,93,0,4,0,2,False
2021-12-05,86,0,1,0,2,False
2021-12-12,80,0,1,0,2,False
2021-12-19,67,0,1,0,1,False
2021-12-26,69,0,1,0,1,False
2022-01-02,82,0,1,0,1,False
2022-01-09,87,0,0,0,2,False
2022-01-16,87,0,1,0,2,False
2022-01-23,91,0,1,0,2,False
2022-01-30,92,0,1,0,2,False
2022-02-06,94,0,1,0,2,False
2022-02-13,93,0,1,0,2,False
2022-02-20,90,0,1,0,2,False
2022-02-27,93,0,1,0,2,False
2022-03-06,95,0,1,0,2,False
2022-03-13,89,0,1,0,2,False
2022-03-20,97,0,1,0,1,False
2022-03-27,98,0,1,0,1,False
2022-04-03,97,0,1,0,2,False
2022-04-10,90,0,0,0,2,False
2022-04-17,94,0,1,0,2,False
2022-04-24,90,0,1,0,2,False
2022-05-01,91,0,1,0,1,False
2022-05-08,87,0,0,0,2,False
2022-05-15,89,0,1,0,2,False
2022-05-22,0,0,0,0,0,True
