date,diabetes and reduced sexual desire women,diabetes and vomiting,diabetes infections,diabetes myocardial infarct,diabetes causes,isPartial
2017-05-28,0,2,3,0,57,False
2017-06-04,0,1,4,0,65,False
2017-06-11,0,3,5,0,69,False
2017-06-18,0,1,5,0,81,False
2017-06-25,0,3,4,0,72,False
2017-07-02,0,2,5,0,83,False
2017-07-09,0,3,9,0,84,False
2017-07-16,0,1,3,0,82,False
2017-07-23,0,3,7,0,87,False
2017-07-30,0,2,3,0,71,False
2017-08-06,0,2,2,0,68,False
2017-08-13,0,1,6,0,64,False
2017-08-20,0,3,3,0,66,False
2017-08-27,0,1,4,0,60,False
2017-09-03,0,1,5,0,65,False
2017-09-10,0,2,5,0,73,False
2017-09-17,0,1,7,0,83,False
2017-09-24,0,1,5,0,74,False
2017-10-01,0,4,7,0,81,False
2017-10-08,0,3,8,0,78,False
2017-10-15,0,1,5,0,76,False
2017-10-22,0,3,6,0,86,False
2017-10-29,0,3,4,0,91,False
2017-11-05,0,5,4,0,78,False
2017-11-12,0,4,7,0,92,False
2017-11-19,0,3,9,0,65,False
2017-11-26,0,2,4,0,85,False
2017-12-03,0,2,8,0,93,False
2017-12-10,0,2,7,0,85,False
2017-12-17,0,3,5,0,61,False
2017-12-24,0,4,7,0,60,False
2017-12-31,0,1,6,0,60,False
2018-01-07,0,1,5,0,67,False
2018-01-14,0,1,6,0,74,False
2018-01-21,0,1,5,0,84,False
2018-01-28,0,4,7,0,78,False
2018-02-04,0,1,5,0,80,False
2018-02-11,0,2,6,0,77,False
2018-02-18,0,1,8,0,86,False
2018-02-25,0,2,6,0,92,False
2018-03-04,0,2,5,0,88,False
2018-03-11,0,3,6,0,76,False
2018-03-18,0,2,5,0,79,False
2018-03-25,0,4,7,0,93,False
2018-04-01,0,2,6,0,84,False
2018-04-08,0,3,4,0,90,False
2018-04-15,0,4,6,0,85,False
2018-04-22,0,2,4,0,78,False
2018-04-29,0,3,7,0,74,False
2018-05-06,0,1,4,0,83,False
2018-05-13,0,2,8,0,68,False
2018-05-20,0,1,4,0,60,False
2018-05-27,0,2,6,0,80,False
2018-06-03,0,2,5,0,62,False
2018-06-10,0,1,4,0,58,False
2018-06-17,0,3,3,0,60,False
2018-06-24,0,1,10,0,60,False
2018-07-01,0,3,7,0,50,False
2018-07-08,0,5,4,0,72,False
2018-07-15,0,3,5,0,67,False
2018-07-22,0,2,7,0,68,False
2018-07-29,0,2,6,0,67,False
2018-08-05,0,2,2,0,62,False
2018-08-12,0,1,7,0,62,False
2018-08-19,0,1,2,0,62,False
2018-08-26,0,2,2,0,66,False
2018-09-02,0,4,4,0,64,False
2018-09-09,0,2,4,0,65,False
2018-09-16,0,3,5,0,87,False
2018-09-23,0,5,6,0,73,False
2018-09-30,0,2,5,0,85,False
2018-10-07,0,2,4,0,84,False
2018-10-14,0,3,8,0,75,False
2018-10-21,0,4,6,0,78,False
2018-10-28,0,1,6,0,85,False
2018-11-04,0,2,8,0,82,False
2018-11-11,0,2,5,0,85,False
2018-11-18,0,1,5,0,83,False
2018-11-25,0,3,7,0,91,False
2018-12-02,0,2,9,0,89,False
2018-12-09,0,3,7,0,82,False
2018-12-16,0,5,6,0,77,False
2018-12-23,0,3,3,0,61,False
2018-12-30,0,2,4,0,74,False
2019-01-06,0,4,6,0,67,False
2019-01-13,0,1,8,0,78,False
2019-01-20,0,1,6,0,74,False
2019-01-27,0,3,4,0,84,False
2019-02-03,0,3,4,0,82,False
2019-02-10,0,3,7,0,81,False
2019-02-17,0,2,5,0,89,False
2019-02-24,0,2,7,0,78,False
2019-03-03,0,1,8,0,91,False
2019-03-10,0,1,3,0,86,False
2019-03-17,0,3,6,0,94,False
2019-03-24,0,3,9,0,85,False
2019-03-31,0,4,7,0,85,False
2019-04-07,0,4,0,0,97,False
2019-04-14,0,1,8,0,84,False
2019-04-21,0,2,7,0,95,False
2019-04-28,0,3,4,0,85,False
2019-05-05,0,4,7,0,100,False
2019-05-12,0,1,6,0,83,False
2019-05-19,0,2,5,0,67,False
2019-05-26,0,2,9,0,74,False
2019-06-02,0,1,9,0,68,False
2019-06-09,0,4,4,0,63,False
2019-06-16,0,2,5,0,73,False
2019-06-23,0,2,4,0,65,False
2019-06-30,0,1,6,0,57,False
2019-07-07,0,5,5,0,68,False
2019-07-14,0,2,5,0,67,False
