date,intermediate acting insulin,Invokana,islet cell transplantation,Januvia,diabetes causes,isPartial
2020-03-08,1,27,0,79,49,False
2020-03-15,1,20,0,74,46,False
2020-03-22,2,19,0,60,47,False
2020-03-29,2,20,0,68,52,False
2020-04-05,2,17,0,59,67,False
2020-04-12,2,19,0,62,56,False
2020-04-19,2,16,0,55,64,False
2020-04-26,2,19,0,53,61,False
2020-05-03,1,23,0,55,57,False
2020-05-10,1,21,0,63,49,False
2020-05-17,1,21,0,66,53,False
2020-05-24,1,18,0,59,51,False
2020-05-31,1,22,0,61,44,False
2020-06-07,1,18,0,72,47,False
2020-06-14,0,19,0,73,51,False
2020-06-21,1,26,0,74,58,False
2020-06-28,1,20,0,65,48,False
2020-07-05,0,23,0,66,51,False
2020-07-12,1,24,0,70,55,False
2020-07-19,1,20,0,78,59,False
2020-07-26,1,23,0,69,44,False
2020-08-02,0,25,0,60,52,False
2020-08-09,1,22,0,70,57,False
2020-08-16,0,20,0,60,61,False
2020-08-23,1,25,0,62,51,False
2020-08-30,1,18,0,62,55,False
2020-09-06,1,22,0,61,48,False
2020-09-13,0,26,0,76,56,False
2020-09-20,1,24,0,71,65,False
2020-09-27,2,25,0,63,60,False
2020-10-04,1,26,0,72,59,False
2020-10-11,1,22,0,73,60,False
2020-10-18,2,28,0,85,64,False
2020-10-25,1,26,0,83,55,False
2020-11-01,1,20,0,60,46,False
2020-11-08,1,24,0,75,59,False
2020-11-15,1,25,0,66,67,False
2020-11-22,1,19,0,63,50,False
2020-11-29,1,24,0,67,56,False
2020-12-06,1,23,0,71,56,False
2020-12-13,1,25,0,70,54,False
2020-12-20,0,15,0,55,37,False
2020-12-27,0,19,0,61,40,False
2021-01-03,1,21,0,75,41,False
2021-01-10,1,30,0,75,51,False
2021-01-17,1,20,0,84,50,False
2021-01-24,1,26,0,85,59,False
2021-01-31,1,25,0,96,57,False
2021-02-07,2,28,0,80,60,False
2021-02-14,2,24,0,72,56,False
2021-02-21,0,19,0,86,67,False
2021-02-28,1,25,0,90,70,False
2021-03-07,1,23,0,87,59,False
2021-03-14,1,24,0,78,47,False
2021-03-21,1,22,0,78,57,False
2021-03-28,1,25,0,76,52,False
2021-04-04,1,23,0,70,57,False
2021-04-11,1,25,0,73,63,False
2021-04-18,1,25,0,86,55,False
2021-04-25,2,24,0,82,56,False
2021-05-02,1,22,0,76,56,False
2021-05-09,1,24,0,68,48,False
2021-05-16,1,22,0,77,49,False
2021-05-23,1,18,0,75,57,False
2021-05-30,0,20,0,70,43,False
2021-06-06,1,22,0,73,57,False
2021-06-13,1,23,0,79,51,False
2021-06-20,0,26,0,78,52,False
2021-06-27,1,25,0,77,51,False
2021-07-04,1,17,0,69,52,False
2021-07-11,1,22,0,79,48,False
2021-07-18,1,18,0,67,44,False
2021-07-25,1,18,0,77,47,False
2021-08-01,1,25,0,73,46,False
2021-08-08,1,22,0,73,47,False
2021-08-15,0,18,0,71,51,False
2021-08-22,0,18,0,76,45,False
2021-08-29,2,17,0,72,49,False
2021-09-05,2,18,0,74,47,False
2021-09-12,1,21,0,77,54,False
2021-09-19,0,15,0,78,56,False
2021-09-26,1,18,0,61,58,False
2021-10-03,1,22,0,71,59,False
2021-10-10,1,27,0,73,54,False
2021-10-17,1,24,0,86,66,False
2021-10-24,1,20,0,74,57,False
2021-10-31,2,23,0,68,47,False
2021-11-07,1,18,0,78,54,False
2021-11-14,1,19,0,75,50,False
2021-11-21,0,12,0,60,46,False
2021-11-28,3,23,0,73,63,False
2021-12-05,1,22,0,67,56,False
2021-12-12,1,18,0,75,52,False
2021-12-19,0,18,0,56,49,False
2021-12-26,0,12,0,67,42,False
2022-01-02,1,16,0,65,40,False
2022-01-09,0,22,0,88,56,False
2022-01-16,1,21,0,89,61,False
2022-01-23,1,23,0,96,54,False
