date,diabetic dermopathy,diabetic foot,diabetic heart disease,diabetic keto acidosis,diabetes causes,isPartial
2022-02-20,2,61,2,1,83,False
2022-02-27,2,59,2,0,80,False
2022-03-06,2,62,1,2,82,False
2022-03-13,3,56,3,0,86,False
2022-03-20,1,57,2,2,68,False
2022-03-27,1,54,2,1,68,False
2022-04-03,3,66,2,1,85,False
2022-04-10,3,59,2,3,77,False
2022-04-17,2,60,3,0,88,False
2022-04-24,2,74,2,1,82,False
2022-05-01,0,56,1,1,69,False
2022-05-08,1,65,2,0,75,False
2022-05-15,0,55,0,0,72,False
2022-05-22,0,27,0,0,54,True
