date,hypoglycemia,insulin reaction,insulin shock,neuropathy,diabetes causes,isPartial
2020-03-08,27,0,1,64,8,False
2020-03-15,23,0,0,49,7,False
2020-03-22,24,1,1,47,8,False
2020-03-29,25,1,1,48,8,False
2020-04-05,29,1,1,54,11,False
2020-04-12,26,1,1,54,9,False
2020-04-19,29,1,1,57,10,False
2020-04-26,29,1,1,61,10,False
2020-05-03,30,0,1,64,9,False
2020-05-10,26,1,1,69,8,False
2020-05-17,28,1,1,63,9,False
2020-05-24,27,0,1,67,8,False
2020-05-31,28,0,0,62,7,False
2020-06-07,28,1,0,75,8,False
2020-06-14,30,1,1,76,8,False
2020-06-21,31,1,0,74,9,False
2020-06-28,30,0,1,74,8,False
2020-07-05,30,0,1,76,8,False
2020-07-12,29,1,0,71,9,False
2020-07-19,29,0,1,76,10,False
2020-07-26,29,0,0,75,7,False
2020-08-02,31,0,0,74,8,False
2020-08-09,31,0,1,78,9,False
2020-08-16,28,1,1,75,10,False
2020-08-23,30,1,1,71,8,False
2020-08-30,28,1,1,74,9,False
2020-09-06,29,0,1,72,8,False
2020-09-13,30,1,1,74,9,False
2020-09-20,31,1,1,73,10,False
2020-09-27,30,1,1,74,10,False
2020-10-04,30,1,1,78,9,False
2020-10-11,32,1,1,75,10,False
2020-10-18,32,1,1,78,10,False
2020-10-25,30,1,1,74,9,False
2020-11-01,26,1,0,61,7,False
2020-11-08,30,1,1,76,9,False
2020-11-15,34,1,0,76,11,False
2020-11-22,27,0,1,69,8,False
2020-11-29,30,1,1,72,9,False
2020-12-06,28,1,1,72,9,False
2020-12-13,27,1,1,72,9,False
2020-12-20,21,0,1,66,6,False
2020-12-27,22,0,1,69,6,False
2021-01-03,26,0,1,75,7,False
2021-01-10,24,0,0,72,8,False
2021-01-17,27,1,1,76,8,False
2021-01-24,30,1,0,80,10,False
2021-01-31,33,1,0,78,9,False
2021-02-07,32,1,1,81,10,False
2021-02-14,29,0,1,77,9,False
2021-02-21,35,0,1,85,11,False
2021-02-28,32,1,1,90,11,False
2021-03-07,31,1,1,85,9,False
2021-03-14,29,1,0,81,8,False
2021-03-21,31,1,1,82,9,False
2021-03-28,29,0,0,82,8,False
2021-04-04,29,1,0,88,9,False
2021-04-11,33,1,1,85,10,False
2021-04-18,30,0,1,85,9,False
2021-04-25,32,0,1,83,9,False
2021-05-02,28,0,0,88,9,False
2021-05-09,30,1,1,89,8,False
2021-05-16,28,0,0,86,8,False
2021-05-23,29,0,1,85,9,False
2021-05-30,27,0,1,81,7,False
2021-06-06,30,1,0,91,9,False
2021-06-13,30,0,0,84,8,False
2021-06-20,29,1,1,87,8,False
2021-06-27,27,1,0,78,8,False
2021-07-04,27,0,1,81,8,False
2021-07-11,32,0,1,88,8,False
2021-07-18,30,0,1,87,7,False
2021-07-25,27,0,0,85,8,False
2021-08-01,31,1,1,84,7,False
2021-08-08,29,1,1,83,8,False
2021-08-15,29,1,1,83,8,False
2021-08-22,28,0,0,83,7,False
