date,artificial pancreas,Aspart,Avandia,bariatric surgery,diabetes causes,isPartial
2020-03-08,1,7,1,61,23,False
2020-03-15,0,6,0,38,22,False
2020-03-22,1,6,1,33,22,False
2020-03-29,1,5,1,36,25,False
2020-04-05,1,6,1,35,32,False
2020-04-12,1,7,1,35,27,False
2020-04-19,0,6,1,38,31,False
2020-04-26,1,7,1,38,29,False
2020-05-03,0,5,1,51,27,False
2020-05-10,1,6,1,53,23,False
2020-05-17,1,6,1,57,25,False
2020-05-24,1,12,1,49,24,False
2020-05-31,1,6,0,56,21,False
2020-06-07,0,6,0,67,22,False
2020-06-14,1,8,1,64,24,False
2020-06-21,1,7,0,67,28,False
2020-06-28,1,7,0,67,23,False
2020-07-05,1,8,1,71,24,False
2020-07-12,1,5,1,70,26,False
2020-07-19,0,6,1,70,28,False
2020-07-26,0,6,1,71,21,False
2020-08-02,0,8,1,68,25,False
2020-08-09,1,7,1,66,27,False
2020-08-16,1,5,0,69,29,False
2020-08-23,1,7,1,64,24,False
2020-08-30,1,7,1,65,26,False
2020-09-06,1,7,1,57,23,False
2020-09-13,1,6,1,68,27,False
2020-09-20,1,8,1,63,31,False
2020-09-27,1,9,1,62,28,False
2020-10-04,1,9,1,71,28,False
2020-10-11,0,8,1,80,28,False
2020-10-18,0,8,1,75,30,False
2020-10-25,1,7,1,74,26,False
2020-11-01,0,5,1,65,22,False
2020-11-08,1,7,0,73,28,False
2020-11-15,1,8,0,72,32,False
2020-11-22,0,6,1,65,24,False
2020-11-29,0,6,0,70,27,False
2020-12-06,0,7,0,69,27,False
2020-12-13,0,6,1,63,26,False
2020-12-20,0,5,1,48,18,False
2020-12-27,0,7,0,68,19,False
2021-01-03,0,8,0,73,19,False
2021-01-10,1,6,0,80,24,False
2021-01-17,1,8,0,77,24,False
2021-01-24,0,9,1,83,28,False
2021-01-31,0,8,1,85,27,False
2021-02-07,0,9,1,80,29,False
2021-02-14,0,7,1,75,27,False
2021-02-21,0,7,1,90,32,False
2021-02-28,0,8,1,87,33,False
2021-03-07,1,9,0,94,28,False
2021-03-14,0,8,1,81,22,False
2021-03-21,0,9,1,82,27,False
2021-03-28,0,8,1,82,25,False
2021-04-04,0,7,1,90,27,False
2021-04-11,1,8,0,88,30,False
2021-04-18,0,8,0,83,26,False
2021-04-25,1,8,1,85,27,False
2021-05-02,0,6,1,81,27,False
