date,continuous glucose monitoring systems,c-peptide test,fasting glucose,fasting plasma glucose,diabetes causes,isPartial
2020-03-01,0,3,70,1,74,False
2020-03-08,0,1,59,0,64,False
2020-03-15,0,1,44,0,60,False
2020-03-22,0,0,43,0,61,False
2020-03-29,0,1,42,2,68,False
2020-04-05,0,1,50,2,87,False
2020-04-12,1,1,46,2,73,False
2020-04-19,1,1,56,2,84,False
2020-04-26,0,0,57,2,80,False
2020-05-03,0,1,51,1,75,False
2020-05-10,0,1,60,2,64,False
2020-05-17,1,1,62,1,69,False
2020-05-24,0,0,66,2,67,False
2020-05-31,1,0,71,1,57,False
2020-06-07,0,0,78,1,61,False
2020-06-14,0,1,76,1,67,False
2020-06-21,0,1,70,1,76,False
2020-06-28,1,2,62,1,63,False
2020-07-05,1,2,72,2,67,False
2020-07-12,1,0,74,3,72,False
2020-07-19,0,1,73,2,77,False
2020-07-26,0,2,86,2,57,False
2020-08-02,1,1,81,0,68,False
2020-08-09,0,2,77,3,75,False
2020-08-16,0,0,69,1,79,False
2020-08-23,1,0,78,1,67,False
2020-08-30,0,1,70,1,71,False
2020-09-06,1,1,64,2,63,False
2020-09-13,0,1,83,2,73,False
2020-09-20,0,1,75,2,85,False
2020-09-27,0,1,76,1,78,False
2020-10-04,0,0,81,3,76,False
2020-10-11,0,2,75,2,78,False
2020-10-18,0,1,83,4,83,False
2020-10-25,0,0,79,1,71,False
2020-11-01,0,1,71,2,60,False
2020-11-08,0,1,80,2,77,False
2020-11-15,0,1,79,1,87,False
2020-11-22,0,0,65,3,65,False
2020-11-29,0,0,75,4,73,False
2020-12-06,0,1,69,2,73,False
2020-12-13,0,0,65,1,70,False
2020-12-20,0,1,62,0,49,False
2020-12-27,0,0,49,0,52,False
2021-01-03,0,1,67,1,53,False
2021-01-10,0,0,72,1,66,False
2021-01-17,0,0,68,2,65,False
2021-01-24,0,0,86,2,77,False
2021-01-31,1,1,76,2,74,False
2021-02-07,2,1,87,2,79,False
2021-02-14,0,0,80,1,73,False
2021-02-21,0,1,84,1,87,False
2021-02-28,0,4,94,3,92,False
2021-03-07,1,3,85,2,76,False
2021-03-14,0,2,83,1,62,False
2021-03-21,1,2,75,2,75,False
2021-03-28,0,3,77,1,67,False
2021-04-04,0,2,78,2,75,False
2021-04-11,0,1,80,2,83,False
2021-04-18,0,2,78,2,72,False
2021-04-25,1,1,83,2,73,False
2021-05-02,0,1,76,2,73,False
2021-05-09,0,1,73,1,62,False
2021-05-16,0,2,89,1,63,False
2021-05-23,0,0,78,1,74,False
2021-05-30,0,0,70,1,56,False
2021-06-06,0,0,75,2,74,False
2021-06-13,0,1,76,2,67,False
2021-06-20,0,1,76,2,68,False
2021-06-27,0,0,74,1,66,False
2021-07-04,0,1,63,1,68,False
2021-07-11,0,2,78,2,63,False
2021-07-18,0,3,77,0,58,False
2021-07-25,0,0,72,1,61,False
2021-08-01,0,2,74,1,60,False
2021-08-08,0,1,63,1,62,False
2021-08-15,1,0,73,0,66,False
2021-08-22,0,2,71,0,59,False
2021-08-29,0,1,77,2,63,False
2021-09-05,0,1,62,2,61,False
2021-09-12,0,1,82,2,71,False
2021-09-19,0,0,75,1,73,False
2021-09-26,0,1,81,3,76,False
2021-10-03,0,0,88,2,77,False
2021-10-10,0,3,92,4,71,False
2021-10-17,0,1,79,1,87,False
2021-10-24,0,1,83,2,74,False
2021-10-31,0,2,74,3,62,False
2021-11-07,0,0,85,1,70,False
2021-11-14,0,3,82,2,65,False
2021-11-21,1,1,55,1,61,False
