date,ESRD,foot ulcers,gangrene,gastroparesis,diabetes causes,isPartial
2020-03-08,22,3,41,64,28,False
2020-03-15,24,3,38,47,26,False
2020-03-22,20,2,42,41,27,False
2020-03-29,20,2,38,39,30,False
2020-04-05,19,2,41,41,38,False
2020-04-12,20,3,41,44,32,False
2020-04-19,22,4,43,55,37,False
2020-04-26,19,3,42,55,35,False
2020-05-03,21,4,42,46,33,False
2020-05-10,21,3,45,60,28,False
2020-05-17,19,3,43,51,30,False
2020-05-24,18,4,39,59,29,False
2020-05-31,18,3,41,52,25,False
2020-06-07,24,3,89,61,27,False
2020-06-14,23,3,90,65,29,False
2020-06-21,28,4,53,75,33,False
2020-06-28,19,2,52,64,28,False
2020-07-05,25,2,50,62,29,False
2020-07-12,26,3,37,63,32,False
2020-07-19,22,3,41,71,34,False
2020-07-26,24,3,45,70,25,False
2020-08-02,21,2,49,81,30,False
2020-08-09,26,3,39,74,33,False
2020-08-16,28,3,47,74,35,False
2020-08-23,25,2,39,71,29,False
2020-08-30,27,4,44,65,31,False
2020-09-06,21,3,41,58,27,False
2020-09-13,26,4,43,62,32,False
2020-09-20,27,3,43,56,37,False
2020-09-27,25,5,43,60,34,False
2020-10-04,26,2,41,70,33,False
2020-10-11,22,2,49,66,34,False
2020-10-18,26,3,48,79,36,False
2020-10-25,27,3,49,77,31,False
2020-11-01,23,3,32,47,26,False
2020-11-08,23,3,41,70,34,False
2020-11-15,20,4,43,67,38,False
2020-11-22,19,3,42,56,29,False
2020-11-29,26,3,45,67,32,False
2020-12-06,24,4,39,63,32,False
2020-12-13,23,2,45,56,31,False
2020-12-20,16,3,37,65,21,False
2020-12-27,15,3,36,74,23,False
2021-01-03,23,2,37,75,23,False
2021-01-10,22,2,46,67,29,False
2021-01-17,27,1,40,65,29,False
2021-01-24,25,3,44,71,34,False
2021-01-31,24,4,45,83,32,False
2021-02-07,26,3,52,66,34,False
2021-02-14,21,5,45,71,32,False
2021-02-21,25,5,46,74,38,False
2021-02-28,24,4,45,82,40,False
2021-03-07,25,3,45,65,33,False
2021-03-14,25,3,42,72,27,False
2021-03-21,23,3,51,69,33,False
2021-03-28,25,3,49,69,30,False
2021-04-04,22,3,45,70,33,False
2021-04-11,25,4,47,71,36,False
2021-04-18,24,4,44,70,32,False
