date,HemoglobinA1c,high glucose,iv glucose tolerance test,lifescan,diabetes causes,isPartial
2020-03-08,0,58,0,5,37,False
2020-03-15,0,45,0,3,35,False
2020-03-22,0,47,0,3,36,False
2020-03-29,0,50,0,3,39,False
2020-04-05,0,59,0,4,50,False
2020-04-12,0,55,0,4,42,False
2020-04-19,0,60,0,3,49,False
2020-04-26,0,57,0,2,46,False
2020-05-03,0,61,0,3,43,False
2020-05-10,0,64,0,4,37,False
2020-05-17,0,52,0,3,40,False
2020-05-24,0,55,0,2,39,False
2020-05-31,0,53,0,5,33,False
2020-06-07,0,56,0,3,36,False
2020-06-14,0,61,0,4,39,False
2020-06-21,0,65,0,6,44,False
2020-06-28,0,59,0,5,37,False
2020-07-05,0,60,0,4,39,False
2020-07-12,0,58,0,1,42,False
2020-07-19,0,67,0,2,45,False
2020-07-26,0,68,0,6,33,False
2020-08-02,0,57,0,4,40,False
2020-08-09,0,59,0,4,44,False
2020-08-16,0,65,0,4,46,False
2020-08-23,0,69,0,4,39,False
2020-08-30,0,71,0,4,41,False
2020-09-06,0,73,0,5,37,False
2020-09-13,0,80,0,3,42,False
2020-09-20,0,91,0,4,49,False
2020-09-27,0,83,0,3,45,False
2020-10-04,0,85,0,4,44,False
2020-10-11,0,84,0,4,45,False
2020-10-18,0,84,0,6,48,False
2020-10-25,0,91,0,3,42,False
2020-11-01,0,71,0,3,35,False
2020-11-08,0,76,0,5,45,False
2020-11-15,0,84,0,7,51,False
2020-11-22,0,61,0,2,38,False
2020-11-29,0,74,0,6,43,False
2020-12-06,0,86,0,5,42,False
2020-12-13,0,71,0,3,41,False
2020-12-20,0,53,0,4,28,False
2020-12-27,0,49,0,3,30,False
2021-01-03,0,62,0,7,31,False
2021-01-10,0,77,0,3,39,False
2021-01-17,0,78,0,3,38,False
2021-01-24,0,80,0,5,45,False
2021-01-31,1,87,0,4,43,False
2021-02-07,0,83,0,4,46,False
2021-02-14,0,77,0,5,42,False
2021-02-21,0,85,0,5,51,False
2021-02-28,0,95,0,6,53,False
2021-03-07,0,91,0,2,44,False
2021-03-14,0,83,0,5,36,False
2021-03-21,0,85,0,4,44,False
2021-03-28,0,87,0,4,39,False
2021-04-04,0,95,0,5,43,False
2021-04-11,0,88,0,5,48,False
2021-04-18,0,88,0,5,42,False
2021-04-25,0,86,0,3,42,False
2021-05-02,0,82,0,4,42,False
2021-05-09,0,75,0,3,36,False
2021-05-16,0,83,0,4,37,False
2021-05-23,0,71,0,4,43,False
2021-05-30,0,69,0,4,33,False
2021-06-06,1,77,0,4,43,False
2021-06-13,0,82,0,4,39,False
2021-06-20,0,76,0,4,40,False
2021-06-27,0,67,0,5,38,False
2021-07-04,0,72,0,3,40,False
2021-07-11,0,74,0,4,37,False
2021-07-18,0,87,0,3,34,False
2021-07-25,0,69,0,4,36,False
2021-08-01,0,75,0,4,35,False
2021-08-08,0,72,0,4,36,False
2021-08-15,0,68,0,5,38,False
2021-08-22,0,82,0,4,34,False
2021-08-29,0,75,0,4,37,False
2021-09-05,0,69,0,5,36,False
2021-09-12,0,82,0,4,41,False
2021-09-19,1,92,0,4,42,False
2021-09-26,0,87,0,4,44,False
2021-10-03,0,96,0,2,45,False
2021-10-10,0,91,0,4,41,False
2021-10-17,0,100,0,6,50,False
2021-10-24,0,92,0,6,43,False
2021-10-31,0,86,0,4,36,False
2021-11-07,0,94,0,4,41,False
2021-11-14,1,93,0,5,38,False
2021-11-21,0,71,0,5,35,False
2021-11-28,0,80,0,3,48,False
2021-12-05,0,95,0,4,43,False
2021-12-12,0,82,0,3,40,False
2021-12-19,0,61,0,6,37,False
2021-12-26,0,58,0,5,32,False
2022-01-02,0,63,0,6,30,False
2022-01-09,0,82,0,5,42,False
2022-01-16,0,72,0,5,46,False
2022-01-23,0,91,0,6,41,False
2022-01-30,0,88,0,6,45,False
2022-02-06,0,96,0,4,44,False
2022-02-13,0,97,0,5,42,False
2022-02-20,0,97,0,5,47,False
2022-02-27,0,96,0,5,45,False
2022-03-06,0,94,0,6,46,False
2022-03-13,0,84,0,3,48,False
2022-03-20,0,98,0,5,38,False
2022-03-27,0,96,0,3,38,False
2022-04-03,0,99,0,2,48,False
2022-04-10,0,91,0,4,43,False
2022-04-17,1,98,0,4,49,False
2022-04-24,0,91,0,3,46,False
2022-05-01,0,92,0,5,39,False
2022-05-08,0,82,0,5,42,False
2022-05-15,0,85,0,3,40,False
2022-05-22,0,0,0,0,0,True
