date,increased urination,increased water intake,intermediate hyperglycemia,PCOS,diabetes causes,isPartial
2018-09-09,1,0,0,60,6,False
2018-09-16,1,0,0,67,8,False
2018-09-23,1,0,0,69,7,False
2018-09-30,2,0,0,58,8,False
2018-10-07,1,0,0,55,8,False
2018-10-14,1,0,0,79,7,False
2018-10-21,2,0,0,60,8,False
2018-10-28,1,0,0,59,8,False
2018-11-04,1,0,0,53,8,False
2018-11-11,1,0,0,53,8,False
2018-11-18,1,0,0,48,8,False
2018-11-25,1,0,0,52,9,False
2018-12-02,1,0,0,52,9,False
2018-12-09,1,0,0,47,8,False
2018-12-16,1,0,0,49,7,False
2018-12-23,1,0,0,47,6,False
2018-12-30,1,0,0,63,7,False
2019-01-06,1,0,0,63,6,False
2019-01-13,1,0,0,61,8,False
2019-01-20,1,0,0,58,7,False
2019-01-27,1,0,0,59,8,False
2019-02-03,1,0,0,57,8,False
2019-02-10,1,0,0,57,8,False
2019-02-17,1,0,0,58,9,False
2019-02-24,1,0,0,57,8,False
2019-03-03,1,0,0,57,9,False
2019-03-10,1,0,0,56,8,False
2019-03-17,1,0,0,57,9,False
2019-03-24,1,0,0,59,8,False
2019-03-31,1,0,0,58,8,False
2019-04-07,1,0,0,57,9,False
2019-04-14,1,0,0,58,8,False
2019-04-21,1,0,0,60,9,False
2019-04-28,1,0,0,57,8,False
2019-05-05,1,0,0,55,10,False
2019-05-12,1,0,0,59,8,False
2019-05-19,1,0,0,57,7,False
2019-05-26,1,0,0,55,7,False
2019-06-02,2,0,0,57,7,False
2019-06-09,1,0,0,63,6,False
2019-06-16,1,0,0,58,7,False
2019-06-23,1,0,0,56,6,False
2019-06-30,1,0,0,50,6,False
2019-07-07,1,0,0,61,7,False
2019-07-14,1,0,0,77,7,False
2019-07-21,1,0,0,61,7,False
2019-07-28,1,0,0,76,6,False
2019-08-04,1,0,0,66,6,False
2019-08-11,1,0,0,64,6,False
2019-08-18,1,0,0,60,6,False
2019-08-25,1,0,0,58,7,False
2019-09-01,1,0,0,68,6,False
2019-09-08,1,0,0,77,7,False
2019-09-15,1,0,0,71,6,False
2019-09-22,1,0,0,63,7,False
2019-09-29,1,0,0,69,9,False
2019-10-06,1,0,0,59,8,False
2019-10-13,1,0,0,56,7,False
2019-10-20,1,0,0,55,8,False
2019-10-27,1,0,0,48,8,False
2019-11-03,1,0,0,54,8,False
2019-11-10,1,0,0,53,8,False
2019-11-17,1,0,0,59,8,False
2019-11-24,1,0,0,45,6,False
2019-12-01,1,0,0,53,9,False
2019-12-08,1,0,0,53,8,False
2019-12-15,1,0,0,49,6,False
2019-12-22,1,0,0,45,6,False
2019-12-29,1,0,0,54,7,False
2020-01-05,1,0,0,56,7,False
2020-01-12,1,0,0,62,6,False
2020-01-19,1,0,0,64,6,False
2020-01-26,1,0,0,67,7,False
2020-02-02,1,0,0,64,8,False
2020-02-09,1,0,0,58,8,False
2020-02-16,1,0,0,61,7,False
2020-02-23,1,0,0,56,8,False
2020-03-01,1,0,0,56,7,False
2020-03-08,1,0,0,48,6,False
2020-03-15,1,0,0,36,6,False
2020-03-22,1,0,0,36,6,False
2020-03-29,1,0,0,57,7,False
2020-04-05,1,0,0,47,9,False
2020-04-12,1,0,0,48,7,False
2020-04-19,1,0,0,57,8,False
2020-04-26,1,0,0,55,8,False
2020-05-03,1,0,0,60,7,False
2020-05-10,1,0,0,62,6,False
2020-05-17,1,0,0,66,7,False
2020-05-24,1,0,0,70,7,False
2020-05-31,1,0,0,58,6,False
2020-06-07,1,0,0,63,6,False
2020-06-14,1,0,0,68,7,False
2020-06-21,1,0,0,68,8,False
2020-06-28,1,0,0,64,6,False
2020-07-05,1,0,0,73,7,False
2020-07-12,1,0,0,67,7,False
2020-07-19,1,0,0,70,8,False
2020-07-26,1,0,0,71,6,False
2020-08-02,1,0,0,69,7,False
2020-08-09,1,0,0,67,8,False
2020-08-16,1,0,0,65,8,False
2020-08-23,1,0,0,62,7,False
2020-08-30,1,0,0,78,7,False
2020-09-06,1,0,0,70,6,False
2020-09-13,1,0,0,64,7,False
2020-09-20,1,0,0,65,8,False
2020-09-27,1,0,0,72,8,False
2020-10-04,1,0,0,71,8,False
2020-10-11,2,0,0,68,8,False
2020-10-18,1,0,0,70,8,False
2020-10-25,1,0,0,68,7,False
2020-11-01,1,0,0,48,6,False
2020-11-08,1,0,0,60,8,False
2020-11-15,1,0,0,66,9,False
2020-11-22,1,0,0,55,7,False
2020-11-29,1,0,0,100,7,False
2020-12-06,1,0,0,73,7,False
2020-12-13,1,0,0,60,7,False
2020-12-20,1,0,0,56,5,False
2020-12-27,1,0,0,68,5,False
2021-01-03,1,0,0,66,5,False
2021-01-10,1,0,0,70,7,False
2021-01-17,1,0,0,70,7,False
2021-01-24,1,0,0,78,8,False
2021-01-31,1,0,0,74,7,False
2021-02-07,1,0,0,73,8,False
2021-02-14,1,0,0,72,7,False
2021-02-21,1,0,0,74,9,False
2021-02-28,1,0,0,78,9,False
2021-03-07,1,0,0,73,8,False
2021-03-14,1,0,0,69,6,False
2021-03-21,1,0,0,73,8,False
2021-03-28,1,0,0,79,7,False
2021-04-04,1,0,0,69,7,False
2021-04-11,1,0,0,72,8,False
2021-04-18,1,0,0,71,7,False
2021-04-25,1,0,0,79,7,False
2021-05-02,1,0,0,74,7,False
2021-05-09,1,0,0,78,6,False
2021-05-16,1,0,0,74,6,False
2021-05-23,1,0,0,77,7,False
2021-05-30,2,0,0,72,6,False
2021-06-06,1,0,0,73,7,False
2021-06-13,1,0,0,72,7,False
