date,nocturnal diarrhea,peripheral neuropathy,acromegaly,Cushing’s disease,diabetes causes,isPartial
2020-03-01,0,71,28,0,47,False
2020-03-08,1,61,24,2,40,False
2020-03-15,0,46,19,1,38,False
2020-03-22,1,46,21,1,39,False
2020-03-29,0,50,24,1,43,False
2020-04-05,0,51,21,2,55,False
2020-04-12,0,52,19,1,46,False
2020-04-19,0,56,27,0,53,False
2020-04-26,0,60,21,0,50,False
2020-05-03,1,64,28,1,47,False
2020-05-10,1,64,18,0,40,False
2020-05-17,0,62,17,0,44,False
2020-05-24,0,62,28,1,42,False
2020-05-31,1,58,21,1,36,False
2020-06-07,0,67,20,1,39,False
2020-06-14,1,70,19,1,42,False
2020-06-21,1,69,21,0,48,False
2020-06-28,0,70,20,0,40,False
2020-07-05,0,68,17,0,42,False
2020-07-12,1,69,23,1,46,False
2020-07-19,0,67,20,1,49,False
2020-07-26,0,70,16,1,36,False
2020-08-02,1,71,14,1,43,False
2020-08-09,0,77,19,1,47,False
2020-08-16,0,74,19,1,50,False
2020-08-23,1,68,22,1,42,False
2020-08-30,0,66,22,1,45,False
2020-09-06,1,65,25,1,40,False
2020-09-13,1,70,19,0,46,False
2020-09-20,0,61,20,0,53,False
2020-09-27,0,68,19,0,49,False
2020-10-04,1,69,27,1,48,False
2020-10-11,0,68,22,1,49,False
2020-10-18,0,72,25,0,53,False
2020-10-25,0,71,32,1,45,False
2020-11-01,0,55,24,0,38,False
2020-11-08,0,73,19,1,48,False
2020-11-15,1,70,24,1,55,False
2020-11-22,1,64,21,0,41,False
2020-11-29,0,61,27,0,46,False
2020-12-06,0,66,32,1,46,False
2020-12-13,1,66,22,1,44,False
2020-12-20,0,52,16,0,31,False
2020-12-27,0,60,16,0,33,False
2021-01-03,0,67,18,1,33,False
2021-01-10,0,63,22,0,42,False
2021-01-17,0,68,19,1,41,False
2021-01-24,0,73,23,0,49,False
2021-01-31,1,62,24,1,47,False
2021-02-07,1,76,23,1,50,False
2021-02-14,0,67,25,1,46,False
2021-02-21,0,78,28,1,55,False
2021-02-28,0,76,26,1,58,False
2021-03-07,1,76,25,1,48,False
2021-03-14,0,69,24,0,39,False
2021-03-21,1,75,28,1,47,False
2021-03-28,1,63,22,1,43,False
2021-04-04,0,73,24,1,47,False
2021-04-11,0,76,24,1,52,False
2021-04-18,0,70,36,1,46,False
2021-04-25,0,73,29,1,46,False
2021-05-02,0,86,29,1,46,False
2021-05-09,0,75,31,0,39,False
2021-05-16,1,86,21,1,40,False
2021-05-23,0,75,24,0,47,False
2021-05-30,1,71,21,1,35,False
2021-06-06,1,77,22,1,47,False
2021-06-13,0,73,26,0,42,False
2021-06-20,0,76,21,0,43,False
2021-06-27,0,64,19,1,42,False
2021-07-04,1,71,19,0,43,False
2021-07-11,1,76,19,0,40,False
2021-07-18,1,81,20,1,36,False
2021-07-25,1,76,17,0,39,False
2021-08-01,0,78,14,1,38,False
2021-08-08,1,69,17,0,39,False
2021-08-15,0,70,13,1,42,False
2021-08-22,1,73,23,1,37,False
2021-08-29,0,63,16,0,40,False
2021-09-05,1,66,21,1,39,False
2021-09-12,1,77,18,0,45,False
2021-09-19,0,74,23,1,46,False
2021-09-26,1,80,24,1,48,False
2021-10-03,1,65,20,1,49,False
2021-10-10,0,72,30,0,45,False
2021-10-17,0,74,24,1,55,False
2021-10-24,1,81,22,1,47,False
2021-10-31,0,71,32,1,39,False
2021-11-07,0,70,27,1,44,False
2021-11-14,0,74,33,1,41,False
2021-11-21,0,63,23,0,38,False
2021-11-28,1,67,21,0,52,False
2021-12-05,1,70,24,1,46,False
2021-12-12,1,63,19,0,43,False
2021-12-19,0,57,17,1,40,False
2021-12-26,1,52,14,0,35,False
2022-01-02,1,64,20,0,33,False
2022-01-09,0,61,24,1,46,False
2022-01-16,0,64,20,0,50,False
2022-01-23,0,72,17,1,45,False
2022-01-30,0,78,29,1,49,False
2022-02-06,1,83,22,1,48,False
2022-02-13,0,68,29,1,45,False
2022-02-20,1,75,21,1,51,False
2022-02-27,0,71,24,0,49,False
2022-03-06,1,73,28,1,50,False
2022-03-13,0,82,22,2,52,False
2022-03-20,1,73,25,1,41,False
2022-03-27,0,84,26,2,42,False
2022-04-03,0,79,37,1,52,False
2022-04-10,0,70,27,1,47,False
2022-04-17,1,80,28,0,54,False
2022-04-24,0,82,23,1,50,False
2022-05-01,1,75,23,1,42,False
2022-05-08,0,72,24,1,45,False
2022-05-15,1,81,21,0,44,False
2022-05-22,4,78,17,0,33,True
