date,long acting insulin,meglitinides,metformin,miglitol,diabetes causes,isPartial
2020-03-08,1,0,43,0,5,False
2020-03-15,1,0,36,0,4,False
2020-03-22,1,0,33,0,4,False
2020-03-29,1,0,35,0,5,False
2020-04-05,1,0,36,0,6,False
2020-04-12,1,0,35,0,5,False
2020-04-19,1,0,35,0,6,False
2020-04-26,1,0,35,0,6,False
2020-05-03,1,0,35,0,5,False
2020-05-10,1,0,37,0,5,False
2020-05-17,1,0,36,0,5,False
2020-05-24,1,0,60,0,5,False
2020-05-31,1,0,69,0,4,False
2020-06-07,1,0,64,0,4,False
2020-06-14,1,0,67,0,5,False
2020-06-21,1,0,60,0,6,False
2020-06-28,1,0,48,0,5,False
2020-07-05,1,0,55,0,5,False
2020-07-12,1,0,52,0,5,False
2020-07-19,1,0,47,0,6,False
2020-07-26,1,0,46,0,4,False
2020-08-02,1,0,45,0,5,False
2020-08-09,1,0,43,0,5,False
2020-08-16,1,0,50,0,6,False
2020-08-23,1,0,52,0,5,False
2020-08-30,1,0,52,0,5,False
2020-09-06,1,0,45,0,5,False
2020-09-13,1,0,44,0,5,False
2020-09-20,1,0,45,0,6,False
2020-09-27,1,0,43,0,6,False
2020-10-04,1,0,92,0,6,False
2020-10-11,1,0,100,0,6,False
2020-10-18,1,0,57,0,6,False
2020-10-25,1,0,51,0,5,False
2020-11-01,1,0,42,0,4,False
2020-11-08,1,0,44,0,6,False
2020-11-15,1,0,51,0,6,False
2020-11-22,1,0,40,0,5,False
2020-11-29,1,0,42,0,5,False
2020-12-06,1,0,42,0,5,False
2020-12-13,1,0,40,0,5,False
2020-12-20,1,0,34,0,4,False
2020-12-27,1,0,39,0,4,False
2021-01-03,1,0,47,0,4,False
2021-01-10,1,0,41,0,5,False
2021-01-17,1,0,46,0,5,False
2021-01-24,1,0,50,0,6,False
2021-01-31,1,0,49,0,5,False
2021-02-07,1,0,48,0,6,False
2021-02-14,1,0,46,0,5,False
2021-02-21,1,0,50,0,6,False
2021-02-28,1,0,49,0,7,False
2021-03-07,1,0,51,0,6,False
2021-03-14,1,0,48,0,4,False
2021-03-21,1,0,48,0,5,False
2021-03-28,1,0,48,0,5,False
2021-04-04,1,0,46,0,5,False
2021-04-11,1,0,50,0,6,False
2021-04-18,1,0,51,0,5,False
2021-04-25,1,0,50,0,5,False
2021-05-02,1,0,49,0,5,False
2021-05-09,1,0,45,0,5,False
2021-05-16,1,0,49,0,5,False
2021-05-23,1,0,50,0,5,False
2021-05-30,1,0,46,0,4,False
2021-06-06,1,0,49,0,5,False
2021-06-13,1,0,51,0,5,False
2021-06-20,1,0,53,0,5,False
2021-06-27,1,0,51,0,5,False
2021-07-04,1,0,45,0,5,False
2021-07-11,1,0,48,0,5,False
2021-07-18,1,0,47,0,4,False
2021-07-25,1,0,46,0,4,False
2021-08-01,1,0,48,0,4,False
2021-08-08,1,0,44,0,4,False
2021-08-15,1,0,43,0,5,False
2021-08-22,1,0,46,0,4,False
2021-08-29,1,0,43,0,5,False
2021-09-05,1,0,44,0,4,False
2021-09-12,1,0,44,0,5,False
2021-09-19,1,0,44,0,5,False
2021-09-26,1,0,44,0,6,False
2021-10-03,1,0,45,0,6,False
2021-10-10,1,0,48,0,5,False
2021-10-17,1,0,44,0,6,False
2021-10-24,1,0,43,0,5,False
2021-10-31,1,0,43,0,5,False
2021-11-07,1,0,44,0,5,False
2021-11-14,1,0,46,0,5,False
2021-11-21,1,0,36,0,4,False
2021-11-28,1,0,46,0,6,False
2021-12-05,1,0,44,0,5,False
2021-12-12,1,0,43,0,5,False
2021-12-19,1,0,39,0,5,False
2021-12-26,1,0,44,0,4,False
2022-01-02,1,0,46,0,4,False
2022-01-09,1,0,51,0,5,False
2022-01-16,1,0,50,0,6,False
2022-01-23,1,0,48,0,5,False
2022-01-30,1,0,46,0,6,False
2022-02-06,1,0,52,0,6,False
2022-02-13,1,0,50,0,5,False
2022-02-20,1,0,50,0,6,False
2022-02-27,1,0,50,0,6,False
2022-03-06,2,0,53,0,6,False
2022-03-13,1,0,51,0,6,False
2022-03-20,1,0,52,0,5,False
2022-03-27,1,0,58,0,5,False
2022-04-03,1,0,55,0,6,False
2022-04-10,1,0,51,0,5,False
2022-04-17,1,0,54,0,6,False
2022-04-24,1,0,52,0,6,False
2022-05-01,1,0,53,0,5,False
2022-05-08,1,0,51,0,5,False
2022-05-15,1,0,53,0,5,False
2022-05-22,0,0,50,0,4,True
